Accounting Date,Total Received,Item Payment Type,Stock Item Name,Event Name,Amount,masked_column
1/31/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,13
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,41
1/31/2023,0.0,Card Payment,,The Talbott Brothers,,30
1/31/2023,0.0,Card Payment,,Scout Durwood Live,,37
1/31/2023,0.0,Card Payment,,Scout Durwood Live,,34
1/31/2023,0.0,No Payment,,A Night at the Theatre - Walla Walla Choral Society,,0
1/31/2023,0.0,No Payment,,A Night at the Theatre - Walla Walla Choral Society,,0
1/31/2023,0.0,No Payment,,A Night at the Theatre - Walla Walla Choral Society,,0
1/31/2023,0.0,No Payment,,A Night at the Theatre - Walla Walla Choral Society,,0
2/1/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
2/1/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,12
2/1/2023,0.0,Card Payment,,Tel Aviv's Peter and the Wolf,,13
2/1/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,38
2/1/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,41
2/1/2023,0.0,Card Payment,,Seattle Jewish Film Festival,,14
2/1/2023,0.0,Card Payment,,Seattle Jewish Film Festival,,19
2/1/2023,0.0,Card Payment,,Scout Durwood Live,,29
2/1/2023,0.0,Card Payment,,Scout Durwood Live,,35
2/1/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,22
2/1/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
2/1/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,19
2/1/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
2/1/2023,0.0,Card Payment,,The Talbott Brothers,,34
2/1/2023,0.0,Card Payment,,The Talbott Brothers,,33
2/1/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,38
2/1/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,37
2/1/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,19
2/1/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,22
2/1/2023,0.0,Card Payment,,Scout Durwood Live,,37
2/1/2023,0.0,Card Payment,,Scout Durwood Live,,38
2/1/2023,0.0,Card Payment,,Scout Durwood Live,,38
2/1/2023,0.0,Card Payment,,Scout Durwood Live,,33
2/1/2023,0.0,Card Payment,,Scout Durwood Live,,34
2/1/2023,0.0,Card Payment,,Scout Durwood Live,,38
2/1/2023,0.0,Card Payment,,Scout Durwood Live,,38
2/2/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
2/2/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,21
2/2/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,23
2/2/2023,0.0,Card Payment,,Scout Durwood Live,,19
2/2/2023,0.0,Card Payment,,Scout Durwood Live,,22
2/2/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
2/2/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
2/2/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,23
2/2/2023,0.0,Card Payment,,Scout Durwood Live,,38
2/2/2023,0.0,Card Payment,,Scout Durwood Live,,38
2/2/2023,0.0,Card Payment,,Scout Durwood Live,,23
2/2/2023,0.0,Card Payment,,Scout Durwood Live,,21
2/2/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,38
2/2/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,34
2/2/2023,0.0,Card Payment,,Scout Durwood Live,,37
2/2/2023,0.0,Card Payment,,Scout Durwood Live,,35
2/2/2023,0.0,Card Payment,,Scout Durwood Live,,36
2/2/2023,0.0,Card Payment,,Scout Durwood Live,,38
2/2/2023,0.0,No Payment,,Scout Durwood Live,,0
2/2/2023,0.0,No Payment,,Scout Durwood Live,,0
2/2/2023,0.0,No Payment,,Scout Durwood Live,,0
2/2/2023,0.0,No Payment,,Scout Durwood Live,,0
2/3/2023,0.0,Card Payment,,The Talbott Brothers,,40
2/3/2023,0.0,Card Payment,,The Talbott Brothers,,38
2/3/2023,0.0,Card Payment,,The Talbott Brothers,,38
2/3/2023,0.0,Card Payment,,The Talbott Brothers,,38
2/3/2023,0.0,Card Payment,,The Talbott Brothers,,35
2/3/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,32
2/3/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,36
2/3/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,33
2/3/2023,0.0,Card Payment,,Scout Durwood Live,,39
2/3/2023,0.0,Card Payment,,Scout Durwood Live,,35
2/3/2023,0.0,Card Payment,,Scout Durwood Live,,33
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,Card Payment,,Scout Durwood Live,,33
2/3/2023,0.0,Card Payment,,Scout Durwood Live,,35
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,No Payment,,YOUTOPIA (film),,0
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,17
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,15
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,15
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,14
2/3/2023,0.0,Card Payment,,Scout Durwood Live,,35
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,15
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,16
2/3/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,19
2/3/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,22
2/3/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,24
2/3/2023,0.0,Card Payment,,A Night at the Theatre - Walla Walla Choral Society,,20
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,16
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,17
2/3/2023,0.0,Cash Payment,,YOUTOPIA (film),,10
2/3/2023,0.0,Cash Payment,,YOUTOPIA (film),,11
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,16
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,16
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,14
2/3/2023,0.0,Card Payment,,YOUTOPIA (film),,16
2/3/2023,0.0,Card Payment,,Scout Durwood Live,,37
2/3/2023,0.0,Card Payment,,Scout Durwood Live,,41
2/3/2023,0.0,Card Payment,,Vincent,,33
2/3/2023,0.0,Card Payment,,Vincent,,37
2/3/2023,0.0,Card Payment,,Vincent,,28
2/3/2023,0.0,Card Payment,,Vincent,,33
2/3/2023,0.0,Card Payment,,Scout Durwood Live,,21
2/3/2023,0.0,Card Payment,,Scout Durwood Live,,41
2/3/2023,0.0,Card Payment,,Scout Durwood Live,,31
2/4/2023,0.0,Card Payment,,Scout Durwood Live,,28
2/4/2023,0.0,Card Payment,,Scout Durwood Live,,29
2/4/2023,0.0,Card Payment,,Scout Durwood Live,,28
2/4/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,29
2/4/2023,0.0,Card Payment,,Tel Aviv Wind Quintet,,28
2/4/2023,0.0,Card Payment,,Scout Durwood Live,,36
2/4/2023,0.0,Card Payment,,Scout Durwood Live,,37
2/4/2023,0.0,Card Payment,,Scout Durwood Live,,40
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,10
2/4/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,14
2/4/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,8
2/4/2023,0.0,Card Payment,,Little Watts: Leapin' Louie,,9
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
2/4/2023,0.0,No Payment,,Scout Durwood Live,,0
