ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The East Oregonian,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
477043940,01/25/2024 9:45 PM,No,No,No,No,No,No,No,Yes,No,No,No,No,36-45,"$100,001 - $200,000","The theater is beautiful and the show was great. As I had anticipated, some of the sound from the seats directly on the side stage could be muffled at times but it did not impede my enjoyment of the show. The lighting was perfect and everyone working and volunteering was so friendly and helpful. I can't wait to come back for another show.",
477046503,01/26/2024 1:19 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,36-45,"$50,001 - $100,000","I was very confused about the use of the fog machine for a comedy show. It was foggy outside. Why did it need to be foggy inside?
The lighting, sound, and overall value was excellent. The seating was actually comfortable and I enjoyed sitting in Row B! I appreciated clean bathrooms and friendly employees.","I would have liked a map with more details about parking. I'm always nervous about having my car towed and while Walla Walla isn't a huge city, I was still anxious because I didn't see a lot of signage."
477046632,01/25/2024 10:00 PM,No,No,No,Yes,No,No,No,No,No,No,No,No,26-35,"$50,001 - $100,000",Great! Had an all-around great experience. Staff were very friendly and helpful. And I just want to mention how awesome it was to bring Mike Birbiglia here--amazing evening ,
477051945,01/25/2024 10:24 PM,No,No,No,No,No,No,No,Yes,No,No,No,No,46-55,"$200,001 or above",Amazing experience!!  THANK YOU FOR THE WONDERFUL THEATRE EXPERIENCE!!,Keep on doing what you do for the volunteers!! They are amazing.
477064380,01/25/2024 11:54 PM,No,No,No,No,No,No,No,Yes,No,No,No,No,56-65,"$50,001 - $100,000",It was awesome all the way around. ,Nothing I can think of.
477108066,01/26/2024 5:18 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,56-65,"$100,001 - $200,000",Loved it!,
477118700,01/26/2024 5:59 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,36-45,"$50,001 - $100,000",Excellent ,
477193358,01/26/2024 9:42 AM,No,No,No,No,No,No,No,No,No,No,No,No,46-55,"$200,001 or above",Excellent. ,
477262674,01/26/2024 1:05 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000","From my seat in the J row it was well lit, sound was at the right level, and Mike was absolutely hilarious. Best comeedy show that I have seen in years. Thanks for bringing to W2.",
477281860,01/26/2024 1:49 PM,No,No,No,No,No,No,No,Yes,No,No,No,No,26-35,"$50,000 or below",So excellent to see such a talented comedian in such an intimate setting. So looking forward to coming back to Walla Walla to see something else! ,
477295335,01/26/2024 2:28 PM,No,No,No,No,No,No,No,Yes,No,No,No,No,66+,,Perfect in any way. We came from Spokane and would come again for such a great venue! ,
477321888,01/26/2024 3:53 PM,No,No,No,No,No,No,No,No,No,No,No,Yes,46-55,"$200,001 or above",,A big thank you to Shawna for helping me get a different seat for the 9:00 pm show.  She went above and beyond to help me!
477334592,01/26/2024 4:59 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,36-45,"$50,001 - $100,000",I had a great time. Sound was good and lighting was appropriate ,I would appreciate it if the show’s audio could be played in the bathroom. That way I don’t miss a punch line or song due to my bladder
477345053,01/26/2024 5:08 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,36-45,"$200,001 or above",Very good!,
477381354,01/26/2024 7:12 PM,No,No,No,No,No,No,No,Yes,No,No,No,No,46-55,,Excellent show! ,Please invite more great comedians!
477390751,01/26/2024 7:54 PM,No,No,No,No,No,No,No,No,No,No,No,Yes,26-35,"$50,001 - $100,000","we are from portland and came here to see the show in a more intimate venue. so happy we did! really friendly staff, no wait at concessions. super clean and beautiful space. i bought tickets late and had seats in the balcony, right on the end. did not expect them to be great seats. genuinely seems like there's not a bad seat in the place. will recommend to friends, and we'll definitely be back. thank you! ",
477392040,01/26/2024 8:36 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,56-65,"$100,001 - $200,000",Great performance!  Lighting and sound seemed fine.   ,"I have noticed this at many concerts, not just the Birbiglia show.  
If there is one thing that could take the Powerhouse from good to great, it would be to allow seating of patrons one hour before show time. After a certain age, adults do not enjoy being mashed together like a techno club mosh pit or a cattle truck.  If lighting and sound checks need to be done before the show, I would humbly suggest that the technicians come in a half hour earlier.  If the performer gets too claustrophobic waiting an hour before the show, then we might consider updating the Green Room.
I have observed patrons becoming angry,  waiting  half an hour for the  doors to open. lve also observed the opposite.  The inevitable outcome of opening the house only 30 min before show time, is that you've trained patrons to arrive at the last minute and then they are being seated after the show  has begun.  This is incredibly distracting for the audience and  perhaps for the performer as  well. 
"
477432980,01/27/2024 12:10 AM,No,No,No,No,No,No,No,Yes,Yes,No,No,No,56-65,"$50,001 - $100,000","Top notch!  For someone with 5 Netflix specials I thought $55 was very reasonable. Sound and lighting were good- on point, not a distraction ",The only negative for me was the seat size .  I’m a large person and AA9 was a tight squeeze.  I was self conscious / embarrassed that I was touching and crowding the people on either side of me.  One of the folding chairs would have been better 
477498805,01/27/2024 7:17 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,36-45,"$100,001 - $200,000","Great overall, everything was enjoyable.",
477503863,01/27/2024 7:33 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,56-65,"$200,001 or above","Just love the venue, this was our third time over the years, as we come from Clarkston. Love the new potential third floor bar area! We will be back!",
477516824,01/27/2024 8:14 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,46-55,"$200,001 or above",It was amazing...loved the volunteers and staff.  So helpful and kind.  The venue is beautiful and we were so thrilled with our seats for Mike Birbiglia...thank you! ,
477548086,01/27/2024 9:51 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,46-55,"$100,001 - $200,000",Great lighting and sound. Why was it “smoky”? That was very distracting,Fans would have been helpful
477574672,01/27/2024 11:26 AM,No,No,No,No,No,No,No,Yes,No,No,No,No,46-55,"$100,001 - $200,000",Beautiful venue.  Liked the overall look.  ,"My brother needed ADA seats, but it wasn't clear which seats were best when ordering the tickets.  We ordered aisle seats (c1-4) but there was no access from the elevator side of the building but to go through all the seats in the row.  The staff were very helpful in getting used to the seats!  Also, the restrooms were not accessible to him.  We had to rush home.  "
477728705,01/27/2024 7:45 PM,No,No,No,No,No,No,No,No,No,No,Yes,No,46-55,"$50,001 - $100,000","Everything was great! The lighting and sound was perfect. A little tight standing room while waiting for the show to start, but once started it was fantastic! The staff is very friendly and accommodating, thank you!","If possible to make the waiting area larger before the show starts or allow patrons to go to their seats earlier, that would be a welcome addition!"
477966192,01/28/2024 2:09 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,36-45,"$200,001 or above",Great! Intimate.,
478435220,01/29/2024 2:06 PM,No,No,No,No,No,No,No,No,No,No,No,Yes,46-55,"$200,001 or above","Great location!  Even though show was running late and we stood in cold for 20 min waiting, staff was very pleasant ",
478590808,01/29/2024 8:38 PM,No,No,No,No,No,No,No,No,Yes,No,Yes,No,36-45,"$100,001 - $200,000","We enjoyed every aspect of the show. The comedy was top-notch - we've never laughed so much - yet also thoughtful. The martinelli's we purchased was affordable and tasty, and the sound and lighting were smooth. Thank you for bringing Mike to Walla Walla.",
478622858,01/29/2024 11:29 PM,No,No,No,No,No,No,No,No,Yes,No,No,No,46-55,"$100,001 - $200,000",Fabulous. Great venue for a comedy show.,
478626057,01/30/2024 12:03 AM,No,No,No,No,No,No,No,Yes,Yes,No,No,No,26-35,"$100,001 - $200,000","We were very pleased with the intimacy of the venue, the quality of the sound, the lighting. The staff was very friendly and communicative. We drove over 4 hours to see the show (from Boise) and we were very happy with the event. ","The temperature control in the venue could have been a bit better (it got quite stuffy in there). Additionally, better signage regarding where to wait would have been helpful. We were there for the 9pm show on Wednesday and the show before ran later than anticipated. Once we were allowed in, it was a bit confusing on where to go. We were not purchasing refreshments/waiting in line and there was not a lot of direction as to where to hang out while the theater was reset or where the theater entrance even was. "
479123034,01/31/2024 7:29 AM,No,No,No,No,No,No,No,No,No,Yes,No,No,56-65,,We had a wonderful time and Mike was very funny and entertaining.  We were just thrilled that he fit our little town into his tour.  Would love to see him again!,
479393778,01/31/2024 6:54 PM,No,No,No,No,No,No,No,Yes,No,No,No,No,56-65,"$100,001 - $200,000","Excellent! We are from Ontario, Oregon. We were very impressed with the quality of the venue. I love when things can be repurposed - including buildings. And, it was a quick walk from the Marcus Whitman, where we were staying.",Great customer service is all about expectations being met or exceeded. We really appreciated your staff coming out and letting us know that the first show had run long and we had time to run to a convenience store to get cough drops and coffee. (I was fighting a cold.) 
479839196,02/01/2024 8:58 PM,No,No,No,No,No,No,No,No,Yes,No,Yes,No,66+,,Great,
481220125,02/04/2024 11:41 PM,No,No,No,No,No,No,No,Yes,Yes,No,No,No,36-45,"$100,001 - $200,000",,
