ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The East Oregonian,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!",event,Television,Event,Instance,The Idaho Statesman,ParentMap
452173264,11/16/2023 8:55 AM,No,No,,No,No,No,No,No,No,No,Yes,No,56-65,"$100,001 - $200,000",Great!,,Grapefruit,,,,,
452192113,11/16/2023 9:44 AM,No,No,,No,No,No,No,No,Yes,No,No,No,36-45,"$100,001 - $200,000","Excellent. I'm glad I went, and I was disappointed that so few people attended. The film was excellent.",,Grapefruit,,,,,
391606960,05/19/2023 9:04 PM,No,No,,No,,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000","Wonderful show!
We left at intermission, unfortunately,  because our stamina wanes.
Sorry",,ThePaperboys,No,,,,
391612451,05/19/2023 9:35 PM,No,No,,No,,No,No,No,Yes,No,Yes,No,66+,"$50,001 - $100,000",Good presentation,Main vocal Mike was set too quiet,ThePaperboys,No,,,,
391613706,05/19/2023 9:44 PM,No,No,,No,,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",Excellent!,Bring them back to town again!,ThePaperboys,No,,,,
391613818,05/19/2023 9:44 PM,Yes,No,,No,,No,No,No,No,No,Yes,No,56-65,"$50,001 - $100,000",,,ThePaperboys,No,,,,
391614656,05/19/2023 9:49 PM,No,No,,No,,No,No,Yes,No,No,No,No,66+,"$50,001 - $100,000",Excellent,,ThePaperboys,No,,,,
391614861,05/19/2023 9:52 PM,Yes,No,,No,,No,No,Yes,No,No,Yes,No,56-65,"$50,001 - $100,000",Fantastic venue and great band/show!  Have them back soon!!,,ThePaperboys,No,,,,
391615082,05/19/2023 9:54 PM,No,No,,No,,No,No,Yes,No,No,No,No,46-55,"$100,001 - $200,000","Great venue. Lighting was a bit crazy — way too bright for a lot of it. Sounded really good though, and the Paperboys were awesome!",,ThePaperboys,No,,,,
391616118,05/19/2023 10:01 PM,Yes,No,,No,,No,No,No,Yes,Yes,Yes,No,66+,"$100,001 - $200,000",Great. Best in a long time.,Keep up the good work,ThePaperboys,No,,,,
391616889,05/19/2023 10:07 PM,No,No,,No,,No,No,No,Yes,No,Yes,No,66+,"$100,001 - $200,000",Very fun show. Great music. Band members seemed so happy.,,ThePaperboys,No,,,,
391617555,05/19/2023 10:12 PM,No,No,,No,,No,Yes,No,No,No,No,No,66+,"$200,001 or above",A little loud. Had a hard time hearing the vocals. But I loved it and hope you bring them back,,ThePaperboys,No,,,,
391618349,05/19/2023 10:19 PM,Yes,No,,No,,No,No,No,No,No,No,No,66+,"$50,001 - $100,000",Very good,,ThePaperboys,No,,,,
391618651,05/19/2023 10:21 PM,No,No,,No,,No,No,No,Yes,No,No,No,66+,,Great fun…very professional……feel good show,,ThePaperboys,No,,,,
391619114,05/21/2023 6:38 AM,No,No,,No,,No,No,No,No,No,No,Yes,46-55,"$50,001 - $100,000","Think the sound and some of the lighting (e.g., spotlights on musicians) could have been better - seemed like that wasn’t fully dialed in.
Overall value, very high - great performance - glad to hear they may come back.",N/A - seemed like there were plenty of volunteers and everything was easy!,ThePaperboys,No,,,,
391625898,05/19/2023 11:33 PM,No,No,,No,,No,No,Yes,No,No,No,No,66+,"$50,000 or below","The band itself was superb, thanks for bringing them! I sat in the 2nd row, left side. The lights were blinding the audience when full on. I was glad I brought my black fan, which I covered half my face with, peering from under it with one eye through much of the concert. Very, very disappointing. Especially paying $30, to be blinded through entire songs. Also, the vocals were hard to understand, a little muddy, not crisp. I heard that from another patron as well. And the people around me commented how rude it was to blind the audience. I love GPHT and want to be supportive, but I probably won't purchase the expensive front seat tickets again.","Just the lighting and sound, to make viewing less painful, and to hear diction in songs. For a lot of the concert, I couldn't hear her harmony where I was sitting. A friend in row G said he could.",ThePaperboys,No,,,,
391626017,05/19/2023 11:28 PM,No,No,,No,,No,No,No,Yes,No,No,No,56-65,"$100,001 - $200,000",Fantastic!,He said they might be coming back in October for a concert as a trio playing Latin music. I hope that you will schedule them or cosponsor them if they’re playing somewhere else in town.,ThePaperboys,No,,,,
391626642,05/19/2023 11:36 PM,No,No,,No,,No,No,No,No,Yes,No,No,66+,"$50,001 - $100,000",Everything was wonderful!,This was our first time at the theatre.  Would love to see Rhiannon Giddens there.,ThePaperboys,No,,,,
391626867,05/19/2023 11:36 PM,No,No,,No,,No,No,No,Yes,No,Yes,No,66+,"$200,001 or above",Not good. Sound was too loud and we were in the last row. Also poor voice quality. Words were garbled,,ThePaperboys,No,,,,
391692380,05/20/2023 6:44 AM,No,No,,No,,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",Fantastic,,ThePaperboys,No,,,,
391703209,05/20/2023 7:23 AM,No,No,,No,,No,No,Yes,Yes,No,Yes,No,66+,,Absolutely loved it!  Coming to your beautiful theatre is such a treat!  Paperboys were such a talented fun group! Never disappointed coming to the Powerhouse.,,ThePaperboys,No,,,,
391704707,05/20/2023 7:26 AM,Yes,No,,No,,No,No,No,No,No,Yes,No,66+,,Event was fantastic! Hope they will return to WW,,ThePaperboys,No,,,,
391740527,05/20/2023 9:22 AM,No,No,,No,,No,No,Yes,No,No,No,No,46-55,"$100,001 - $200,000",It was fantastic though at times the sound was a echoed a bit.,,ThePaperboys,No,,,,
391743667,05/20/2023 9:45 AM,No,No,,No,,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000","Wonderful! The sound system seemed to require some help but after initial problems (couldn't hear the violinist initially, voice or instrument) but was still a bit 'garbled' - hard to distinguish any words.  Maybe the mics were set too sensitive or something?",Please don't schedule two wonderful concerts back to back!  Most can't afford a weekend of great music!!,ThePaperboys,No,,,,
391749278,05/20/2023 9:51 AM,Yes,No,,No,,No,No,No,No,No,No,No,66+,"$100,001 - $200,000",Excellent,,ThePaperboys,No,,,,
391760076,05/20/2023 10:17 AM,No,No,,No,,No,No,Yes,Yes,No,Yes,No,56-65,"$50,000 or below",WONDERFUL!! I great performance. Would come see them again!!,,ThePaperboys,No,,,,
391820471,05/20/2023 1:30 PM,No,No,,No,,No,No,No,No,No,Yes,No,46-55,"$50,001 - $100,000",LOVE LOVE LOVE - they put on a fantastic show!,,ThePaperboys,No,,,,
391822732,05/20/2023 1:47 PM,No,No,,No,,No,No,No,Yes,No,No,No,66+,,"Loved the group....but, the sound in the balcony was like tin noise so we moved downstairs at intermission which was a dramatically different experience - except that the bass was ridiculously overpowering. Lighting was fine. Quality of performers was excellent. Sound was definitely off which made for an experience I would not repeat. I don't know who was responsible for the overpowering bass, but it needs to be corrected.",I think the acoustics could be improved if some sound baffles are installed to eliminate the tin sound while in the balcony seats.,ThePaperboys,No,,,,
391840070,05/20/2023 2:37 PM,No,No,,No,,No,No,No,No,Yes,No,No,46-55,"$100,001 - $200,000",Event was great. Sometimes the instrument sound overpowered the vocal sound. Not sure if it was the accusative of the building or the sound board.,,ThePaperboys,No,,,,
391926323,05/20/2023 7:57 PM,No,No,,No,,No,No,No,Yes,No,No,No,56-65,"$50,001 - $100,000","The Paperboys concert was amazing.  I have seen them twice before in Leavenworth and I have all of their albums.  The talent of the band is unbelievable.  However, I was very disappointed with the sound system. For one thing, it was just way too loud for the size of the venue.  I was in the sixth row and my friends and I felt like we were being blasted with sound.  Even more frustrating was that the mix for the vocals seemed way off. We could hardly hear what Tom was singing. It sounded like he was under 10 feet of water. It probably sounded ok in the balcony but it was very muddy in the front rows.  The sad thing is that the acoustics are very good in the theatre.  I sing with the Choral Society and we have sung there several times. There is no need to blast the music like they are in a stadium.  Anyway, we still enjoyed the show, but were disappointed with the sound system. Please bring them back and turn down the amps! :) Thanks!",,ThePaperboys,No,,,,
392443015,05/22/2023 9:51 AM,Yes,No,,No,,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",,"I thought the Paperboys program was excellent.  I wonder why leadership does not sign up similar groups.
I am not interested the majority of your events you list.  Keep that in mind",ThePaperboys,No,,,,
392538077,05/22/2023 1:55 PM,No,No,,No,,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Outstanding concert.  The group's ability to change music styles was amazing.,"During the performance you allowed a group of at least 8 women to enter the theatre.  They disrupted the entire song and then kept moving and disrupting through the entire next song.  We were in aisle ""I"" and they were 2 aisles lower.  You can't let latecomers interrupt a performance!",ThePaperboys,No,,,,
493623035,03/01/2024 9:19 PM,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,66+,"$50,000 or below",I couldn’t hear some of what he said,,OneNobleJourney,,,,,
493623323,03/01/2024 9:21 PM,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,36-45,"$100,001 - $200,000",Phenomenal! ,Try to bring Mike Wiley back for one of his other plays!!!,OneNobleJourney,,,,,
493630911,03/01/2024 10:14 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,66+,,"Great performer. Bring him back for another of his plays, then he’ll gain traction in the community. I went because my granddaughter s@w him through his school performance. Next year it would be a new group of kids. And more families might come. Give family discounts. A great way to teach history. ",,OneNobleJourney,,,,,
493706624,03/02/2024 7:02 AM,Yes,No,Yes,No,No,No,No,No,No,No,No,No,66+,"$50,000 or below",The performer interacted superbly with the audience and was especially respectful and attentive towards questions from children.,Be more attentive to sound system functions and keeping any visual aids tuned in to what the performer is doing.,OneNobleJourney,,,,,
493724280,03/02/2024 8:01 AM,Yes,No,No,No,No,No,No,No,No,Yes,No,No,66+,"$50,001 - $100,000",Excellent on all counts.,I wish more people had come to the play.  ,OneNobleJourney,,,,,
493745747,03/02/2024 9:04 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Fantastic,,OneNobleJourney,,,,,
493748020,03/02/2024 9:18 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",Delightful small venue.  Felt like we were a small part of Mike Wiley’s recounting of 19th century life and struggles for freedom.,,OneNobleJourney,,,,,
493772403,03/02/2024 10:09 AM,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,66+,"$50,001 - $100,000","Sound was too low in the beginning but then fixed. The overall production was engaging, thought provoking and well done. Kudos to Mr Wiley for being able to bring the subject matter alive and for using the audience so effectively. Also great Q&A afterwards. I wish the audience had been larger! ",Awesome greeters and all volunteers make attendees feel welcome. Love this venue!,OneNobleJourney,,,,,
493803429,03/02/2024 11:32 AM,No,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",Excellent!  Thoroughly enjoyed the performance and was glad to see an audience of all ages!  (I appreciated the opportunity to meet Michael after the performance - he's charming!),,OneNobleJourney,,,,,
493876507,03/02/2024 3:12 PM,No,No,No,No,No,No,No,No,No,Yes,No,No,66+,"$50,001 - $100,000","Mike Wylie was very engaging. His genuine joy in interacting with the audience was unsurpassed. Regardless of the small audience size, he entertained, engaged, and performed with the greatest interests. Sound was an issue for both the announcer and actor as was conversation during the performance. It sounded like one of the entry doors was left open and what was meant to be a private conversation was now public. A friend had heard about his performance from a grade school grandchild who was impressed with his message and performance. The children, whom he selected to interact on stage were delighted to be chosen. His Q & A after was engaging and encouraged those free thinking artisans in the audience to continue to see this gift as valuable, as he relayed his interest in people watching and mimicing voices/body language as a child, which led to his performance career.  We are glad to hear that he will be returning next year.","Perhaps complimentary tickets at the school performances, which would be coordinated through school office personnel would be another incentive for families to attend.",OneNobleJourney,,,,,
494008765,03/03/2024 12:43 AM,No,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$200,001 or above",À plus ,,OneNobleJourney,,,,,
494411786,03/03/2024 11:48 PM,No,No,No,No,No,No,No,Yes,No,No,No,Yes,56-65,,Loved it.,,OneNobleJourney,,,,,
494491658,03/04/2024 7:26 AM,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,66+,"$50,001 - $100,000","Fantastic Show. I was laughing and crying. A great talent, an amazing story and yet another perspective on the dangers and sorrows of slavery. Thank you for bringing this show to WW. ",,OneNobleJourney,,,,,
496422021,03/08/2024 7:30 PM,No,No,No,No,No,No,Yes,No,No,No,No,No,56-65,"$200,001 or above","The production was educational, inspiring, gripping, fun and sorrowful - what a story.  It was high-quality, lighting and sound was good - I didn't even know that the mic was off - the sound in the theater is great.  The House did a great job.  I look forward to his return for another production.","This is the time that I went to the bathroom after the performance and when I got to the lobby it was just a few people left.  I don't know what can be done to keep people to chat afterwards.  Perhaps it was such an uncomfortable topic that some felt they needed to go to their comfort zone.
LOVED the evening!",OneNobleJourney,,,,,
415263325,07/28/2023 9:39 PM,No,No,,No,,No,No,Yes,No,No,No,No,26-35,"$50,001 - $100,000",Our first time ever going and it was great! The volunteers were friendly and the ushers were too. It was comfortable and made for the perfect night out.,Keep up the great work!,PaulaPoundstone,,,,,
415263809,07/28/2023 9:37 PM,Yes,No,,No,,No,No,No,No,No,No,No,66+,"$100,001 - $200,000",All aspects of the theater were excellent,,PaulaPoundstone,,,,,
415263930,07/28/2023 9:37 PM,No,No,,No,,No,No,Yes,No,No,No,No,66+,"$100,001 - $200,000",Excellent,,PaulaPoundstone,,,,,
415265162,07/28/2023 9:47 PM,No,No,,No,,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",Fantastic. Second time I saw her show at Power House Theatre.,,PaulaPoundstone,,,,,
415267445,07/28/2023 10:03 PM,No,No,,No,,No,No,Yes,No,No,No,No,66+,"$100,001 - $200,000",Excellent,,PaulaPoundstone,,,,,
415269202,07/28/2023 10:17 PM,Yes,No,,No,,No,No,No,No,No,No,No,66+,"$50,001 - $100,000",Fantastic show. Better than we were expecting.  Haven’t laughed so much since the I Am The Devil show.,,PaulaPoundstone,,,,,
415271563,07/28/2023 10:36 PM,Yes,No,,No,,Yes,No,No,No,Yes,Yes,No,66+,,"Sound system is poor -- the volume is adequate, but the clarity is lacking. I missed quite a bit of Paula's lines. I expect more from this quality theater.
Thank you",,PaulaPoundstone,,,,,
415273017,07/28/2023 10:51 PM,No,No,,No,,No,No,Yes,No,No,No,No,66+,"$100,001 - $200,000",Good quality lighting and sound in showroom.  We both enjoyed the show and felt it was worth the cost and travel.,"As you enter the building there is a strong musty/mildew smell. I automatically took my medication, but the showroom was much better. I was able to stay and enjoy the show.  I realize the building is old and there isn’t much that you can do, but you might get it checked.",PaulaPoundstone,,,,,
415273057,07/28/2023 10:47 PM,No,No,,No,,No,No,No,No,Yes,Yes,No,25 and under,"$50,001 - $100,000",Terrific!,,PaulaPoundstone,,,,,
415278510,07/28/2023 11:47 PM,No,No,,No,,No,No,No,No,No,Yes,No,56-65,"$200,001 or above","High quality (albeit ultra liberal) entertainer, good value for money.",,PaulaPoundstone,,,,,
415279601,07/29/2023 12:01 AM,No,No,,No,,No,No,No,No,No,Yes,No,36-45,"$50,001 - $100,000","It was a great, intimate theater experience.","I wish the info in the email sent prior to the event was more accurate (i.e., the email said the show would run 90 min with an intermission, but the show was over 2 hours with no intermission).",PaulaPoundstone,,,,,
415315864,07/29/2023 6:02 AM,No,No,,No,,No,No,No,No,No,Yes,No,66+,,A wonderful evening!,,PaulaPoundstone,,,,,
415319884,07/29/2023 6:20 AM,No,No,,No,,Yes,No,No,No,No,No,No,56-65,"$100,001 - $200,000",Excellent,,PaulaPoundstone,,,,,
415321400,07/29/2023 6:28 AM,No,No,,No,,Yes,No,No,No,No,No,No,66+,"$50,001 - $100,000",Great 😃🎶🍸,,PaulaPoundstone,,,,,
415328059,07/29/2023 6:56 AM,No,No,,No,,No,No,Yes,No,No,Yes,No,66+,"$50,001 - $100,000",It was great!,,PaulaPoundstone,,,,,
415333409,07/29/2023 7:20 AM,Yes,No,,No,,Yes,Yes,No,No,No,Yes,No,56-65,"$100,001 - $200,000","Good, but seating is very tight. There were some minor audio issues.",More seating outside before the show.,PaulaPoundstone,,,,,
415356401,07/29/2023 8:59 AM,No,No,,No,,Yes,No,No,No,No,No,No,56-65,"$200,001 or above","Charming theater, friendly staff. Not a bad seat in the house.  The sound quality was stellar (I often struggle to hear), as was the general ambiance, lighting, etc. Easy access to nice, clean restrooms. The availability of drinks/bar was a nice touch. Advance “what to know”info was high quality and timely. Great experience. Very much enjoyed the more intimate setting. We will be back.",,PaulaPoundstone,,,,,
415361067,07/29/2023 9:12 AM,Yes,No,,No,,No,No,Yes,No,No,No,No,66+,"$100,001 - $200,000","Terrific!  Love her shows!  Good sound, good lighting, good value!",,PaulaPoundstone,,,,,
415366651,07/29/2023 9:30 AM,No,No,,No,,No,No,Yes,No,No,No,No,46-55,"$100,001 - $200,000",Very fun- neat venue!,,PaulaPoundstone,,,,,
415370809,07/29/2023 9:50 AM,No,No,,No,,No,No,No,No,No,Yes,No,56-65,,"We absolutely loved Paula Poundstone!!  She is a fabulous entertainer!!  Her show was sold out last time she was in Walla Walla so we were thrilled to catch her this time.  We would definitely go see her again given the chance.  The quality, lighting, sound, and value were all great.","In the future, an intermission or at least a 5 minute chance to stand and stretch our legs would be much appreciated.  My legs were uncomfortably numb after an hour and a half into the show.",PaulaPoundstone,,,,,
415393474,07/29/2023 11:06 AM,No,No,,No,,No,No,No,Yes,No,No,No,66+,"$50,000 or below","The lighting was fine. We were up in the southside balcony and had a tremendous difficulty hearing her whole dialogue. I do not think the balcony has any speakers aimed at the seats, so I was straining to hear her - particularly the punch lines. Perhaps this is something that should be addressed. Two hours of solid standup! Other than the fact we only could hear a part of the dialogue, she was wonderful.",,PaulaPoundstone,,,,,
415401091,07/29/2023 11:33 AM,No,No,,No,,Yes,No,No,No,No,No,No,66+,"$100,001 - $200,000","Paula was excellent, as is the seating. However the sound was somewhat distorted at times (I do have hearing aids so could hear well but some words were muddled)",,PaulaPoundstone,,,,,
415410624,07/29/2023 12:06 PM,Yes,No,,No,,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000",,,PaulaPoundstone,,,,,
415420412,07/29/2023 12:46 PM,No,No,,No,,Yes,No,No,No,No,No,No,56-65,"$100,001 - $200,000",All good.,Speaker interacted with audience. However I could not discern what the college student said as her voice was very soft. It would have been better if Paula repeated what she said over the microphone.,PaulaPoundstone,,,,,
415433063,07/29/2023 1:22 PM,No,No,,No,,No,No,No,No,No,No,Yes,36-45,"$50,001 - $100,000","Really enjoyed this event! The space was comfortable, well lit, with great sound. It felt intimate and upscale.",,PaulaPoundstone,,,,,
415478183,07/29/2023 4:00 PM,Yes,No,,No,,Yes,Yes,No,Yes,No,No,No,66+,"$50,001 - $100,000","SWITCHING MIKES WAS GOOD.  LIGHTING FOR ""AD"" WAS OK ONCE THE TECHNICIANS FIGURED OUT WHAT PAULA WANTED.  EXCELLENT PERFORMANCE.  GOING AGAIN ON SATURDAY!",,PaulaPoundstone,,,,,
415526156,07/29/2023 7:08 PM,Yes,No,,No,,No,No,No,No,No,No,No,56-65,"$100,001 - $200,000",Excellent and lots of fun,All good.,PaulaPoundstone,,,,,
415555109,07/29/2023 9:34 PM,No,No,,No,,No,No,No,No,No,Yes,No,66+,"$100,001 - $200,000",Splendid.,,PaulaPoundstone,,,,,
415555272,07/29/2023 9:35 PM,No,No,,No,,No,No,No,No,No,No,Yes,66+,"$100,001 - $200,000",Excellent apart from audio when PP was quieter,,PaulaPoundstone,,,,,
415555404,07/29/2023 9:35 PM,No,No,,No,,No,No,No,Yes,No,Yes,No,26-35,"$100,001 - $200,000",Fantastic in every way,,PaulaPoundstone,,,,,
415555564,07/29/2023 9:36 PM,Yes,No,,No,,Yes,Yes,Yes,No,Yes,Yes,No,56-65,"$100,001 - $200,000",Good!,,PaulaPoundstone,,,,,
415556022,07/29/2023 9:40 PM,No,Yes,,No,,No,No,No,No,No,No,No,66+,"$50,001 - $100,000",I thoroughly enjoyed Paula's presentation.  She was brilliant.  The lighting and sound were good.  The seat got somewhat uncomfortable by the end of her performance though.,,PaulaPoundstone,,,,,
415558072,07/29/2023 9:55 PM,Yes,No,,No,,No,No,No,No,No,No,No,56-65,"$50,001 - $100,000",Excellent experience from easy parking to venue facility and the wonderful Artist.,"Keep up the great work, it shows.",PaulaPoundstone,,,,,
415558561,07/29/2023 9:58 PM,No,No,,No,,No,No,No,Yes,No,No,No,56-65,"$100,001 - $200,000",All good.,Paula Poundstone is awesome. Thoroughly enjoyed her last time she was here and happy to see her again.,PaulaPoundstone,,,,,
415559662,07/29/2023 10:05 PM,No,No,,No,,No,No,No,Yes,No,No,No,66+,"$100,001 - $200,000",Excellent!,Congrats on attracting such a big name to Slka Walla!,PaulaPoundstone,,,,,
